Name,Model Number,Minimum Amount,Manufacturer,Category,Require Serial,Depreciation,EOL,Notes,Fieldset,Requestable
NIU Pana 3G TV N206,878856496-7,57,Ailane,Electronics,true,suspendisse ornare consequat,128,Horizontal,Laptops and Desktops,true
Cat B30,147754032-6,98,Blogpad,Food - Baked Goods,true,aliquam convallis nunc,132,Profit-focused,Mobile Devices,false
Lenovo IdeaTab S6000L,651177756-1,282,Gabspot,Food - Bakery,false,pellentesque quisque porta volutpat,164,Compatible,,false
Huawei G7010,526577622-2,89,Yambee,Food - Baking,false,,159,leading edge,Mobile Devices,true
BLU Studio One Plus,558273151-2,25,Snaptags,Beauty,false,turpis nec euismod scelerisque,125,Digitized,Mobile Devices,true
verykool SL5000 Quantum,372840964-2,224,Gevee,Garden,true,,215,Team-oriented,Mobile Devices,true
Motorola E375,788828461-2,206,Wikido,Food - Seafood,false,pulvinar nulla pede ullamcorper augue,186,scalable,Laptops and Desktops,false
Vodafone Smart ultra 6,029790113-3,12,Kwilith,Kitchen,false,nisl,53,,Mobile Devices,true
Huawei T161L,582623909-3,123,Edgepulse,Wearable Tech,false,sollicitudin vitae,151,object-oriented,Laptops and Desktops,true
verykool R25,229040137-4,77,Abatz,Garden,false,malesuada in imperdiet,212,,Laptops and Desktops,true
Nokia N76,935480242-7,162,Dynava,Home,true,est quam pharetra magna ac,141,Implemented,Laptops and Desktops,false
Samsung Galaxy Tab 4 8.0 (2015),289242099-7,67,Ooba,Kitchen,true,ultrices aliquet,35,,Mobile Devices,false
ZTE Blade 20 5G,528226544-3,153,Realcube,Outdoor,true,etiam justo etiam pretium,9,contingency,Mobile Devices,false
Bird S768,260564021-3,286,Realcube,Food - Breakfast,false,mauris lacinia sapien,24,,Mobile Devices,true
Sewon SG-2890CD,259990275-4,,Ntag,Outdoor,false,diam in magna bibendum imperdiet,229,matrix,Laptops and Desktops,true
O2 XDA Stellar,003899602-2,447,Jabbersphere,Kitchen,true,est,83,,Laptops and Desktops,true
Celkon Q3000,176326079-8,408,,Bathroom,true,vestibulum vestibulum ante ipsum primis,66,productivity,Laptops and Desktops,true
Allview P10 Style,950389502-2,70,Abatz,Food - Seafood,true,dapibus nulla suscipit ligula,172,homogeneous,,false
BenQ U700,447096124-8,367,Meeveo,Home,false,,173,real-time,Laptops and Desktops,true
Lava X28 Plus,648979374-1,15,Digitube,Audio,false,velit vivamus vel nulla,136,Cross-group,Laptops and Desktops,true
Micromax Canvas Mega 4G Q417,446105030-0,88,Oloo,Photography,false,amet cursus id turpis,51,firmware,Laptops and Desktops,false
Spice Mi-535 Stellar Pinnacle Pro,782718539-8,315,Topiczoom,Office,true,turpis integer aliquet massa id,204,extranet,Mobile Devices,false
NEC e808,559505420-4,151,Thoughtmix,Kitchen,true,elementum pellentesque quisque porta,95,Upgradable,Mobile Devices,false
Maxwest Orbit Z50,375170802-2,,Miboo,Food - Baking,true,,148,Persevering,Mobile Devices,false
Yezz Epic T,895865143-1,384,Divanoodle,Music,false,justo sollicitudin ut suscipit,226,executive,Laptops and Desktops,false
Lenovo Tab P11 Pro,841016454-X,429,Zoomzone,Food,true,massa donec dapibus duis,156,Innovative,Mobile Devices,true
Bird V79,644626485-2,104,Mydeo,Health,true,etiam pretium iaculis justo in,74,project,Laptops and Desktops,true
Allview P6 Quad Plus,343402980-X,157,Voonyx,Food - Baking,true,curae donec pharetra,75,,Laptops and Desktops,true
Apple iPhone XR,059591742-9,366,Zoomlounge,Food - Frozen Foods,true,dolor quis odio consequat varius,205,Phased,Mobile Devices,true
Celkon C509,723802017-3,112,Devpulse,Kitchen,true,pellentesque,,Enhanced,Laptops and Desktops,true
Micromax Q2,853381455-0,173,Wikizz,Food - Snacks,false,in,140,grid-enabled,Laptops and Desktops,true
Samsung Galaxy A21s,735950484-8,137,Skiptube,Food - Breakfast Foods,true,nisi volutpat eleifend donec,,workforce,,true
Sagem MY X-5,263325566-3,,Yacero,Electronics,true,vel,187,focus group,Mobile Devices,true
Micromax A100,686867650-6,406,Aimbu,Food - Frozen,false,luctus et ultrices,123,Cross-platform,Mobile Devices,false
Micromax Canvas Win W092,722998352-5,200,Jabbersphere,Garden,true,ut ultrices vel,,,Laptops and Desktops,true
alcatel OT-E158,171242516-1,430,Plajo,Food - Condiments,true,tortor id nulla ultrices,52,budgetary management,Laptops and Desktops,false
Siemens A60,757447069-3,379,Youspan,Food - Snacks,false,,135,Configurable,,true
Micromax Selfie 2 Note Q4601,308487795-5,71,Kaymbo,Food - Desserts,true,at nunc commodo placerat praesent,50,tertiary,Laptops and Desktops,false
Samsung D840,869078316-4,250,,Food - Snacks,true,semper,203,Quality-focused,Laptops and Desktops,false
Motorola V66i,596220028-4,493,Kwinu,Food - Bakery,true,ac nulla sed,80,knowledge user,Mobile Devices,true
Chea 198,625577945-9,256,Innojam,Food - Frozen Desserts,false,mauris,145,intranet,Mobile Devices,true
BLU Tank Xtreme 2.4,556292320-3,396,Jaxbean,Food - Frozen,true,varius ut blandit non interdum,159,software,Laptops and Desktops,false
alcatel OT-E158,172249618-5,245,Skibox,Outdoor,true,nulla,17,Realigned,Mobile Devices,false
alcatel Pixi 3 (5.5) LTE,992959442-6,279,Vipe,Food - Frozen,false,id justo,82,context-sensitive,Laptops and Desktops,true
Samsung C450,541823514-1,340,Fadeo,Food - Snacks,false,ante,,Multi-lateral,,false
Gigabyte GSmart MS802,478209909-6,54,Devpoint,Food - Breakfast,true,eu sapien cursus vestibulum proin,150,extranet,Laptops and Desktops,true
Samsung Galaxy Note 10.1 (2014),953094467-5,39,Riffwire,Clothing - Tops,false,quis turpis eget,177,intranet,Mobile Devices,false
Icemobile Rock Bold,677534182-2,444,Skipfire,Food - Frozen Food,false,integer ac neque,53,,Laptops and Desktops,true
Pantech G670,905385855-5,8,Oyonder,Food - Breakfast,false,mauris vulputate elementum nullam varius,86,structure,,false
HP iPAQ rw6828,437727663-8,95,,Clothing - Tops,true,molestie lorem quisque ut,114,service-desk,Mobile Devices,true
Samsung Galaxy Ace Style,710193525-7,315,Feedfish,Electronics,false,pharetra,113,solution-oriented,Laptops and Desktops,false
i-mobile TV 620,185526874-4,312,Bubbletube,Food - Snacks,true,ut,,Horizontal,Laptops and Desktops,true
Nokia C5,336573123-7,203,Mydeo,Toys,true,,32,local area network,Laptops and Desktops,false
Samsung Galaxy Avant,226102857-1,176,Realpoint,Food - Soups,true,varius ut blandit non,199,,Laptops and Desktops,false
Realme 3i,266397703-9,25,Latz,Health,true,arcu adipiscing,,Exclusive,,true
Spice M-5665 T2,345366587-2,36,Mydeo,Food - Canned Goods,false,tellus nisi eu orci mauris,115,functionalities,Mobile Devices,false
Samsung U800 Soul b,876578962-8,239,,Food - Cooking Oils,true,augue vel accumsan,163,context-sensitive,Laptops and Desktops,true
BLU Studio X Plus,622935479-9,431,,Food - Baking,true,elementum eu interdum eu,128,,Mobile Devices,false
LG Optimus L3 E405,881807095-9,407,Bluezoom,Food - Baking,true,vel est,34,Reduced,Mobile Devices,true
HTC Gratia,167416610-9,334,Pixonyx,Food - Meal Kits,false,justo aliquam quis,14,Intuitive,,false
Samsung Galaxy On8,726975245-1,142,Eadel,Food - Snacks,true,lobortis,129,cohesive,Laptops and Desktops,true
Blackview P6000,894802196-6,461,Jaxspan,Home,false,primis in faucibus orci luctus,203,info-mediaries,Mobile Devices,false
LG Stylo 2,026976156-X,120,Flashset,Food - Canned Goods,false,dapibus dolor,47,toolset,Mobile Devices,false
Nokia 6020,967259786-X,445,Digitube,Accessories,true,lorem,160,attitude-oriented,Laptops and Desktops,true
QMobile Noir A1,672361479-8,432,Rhynyx,Food - Meat,true,,31,protocol,Laptops and Desktops,true
Sony Ericsson R306 Radio,959336298-3,177,Browsedrive,Baby,true,maecenas rhoncus aliquam lacus,70,Enterprise-wide,,true
Plum Ram,366717278-8,321,Kare,Electronics,false,morbi vel lectus in quam,,Networked,,false
Meizu MX6,891910001-2,318,Jabbersphere,Garden,false,nisl aenean lectus pellentesque,4,clear-thinking,Mobile Devices,false
Realme C15,110290448-1,38,Zooveo,Health,false,sed nisl nunc rhoncus dui,42,secured line,Mobile Devices,true
BlackBerry Curve 8320,254944392-6,313,Gabtype,Food - Beverages,false,,66,project,Mobile Devices,false
Samsung Galaxy S III CDMA,624344976-9,48,,Audio,true,hac habitasse platea dictumst morbi,204,Realigned,Laptops and Desktops,true
Xiaomi Redmi Go,725171656-9,27,,Travel,true,ipsum primis in faucibus,124,application,Mobile Devices,true
BLU Studio XL,556089763-9,,Feedmix,Smart Home,false,sed,111,matrices,Laptops and Desktops,false
Ulefone Armor X5 Pro,399364793-9,426,Tagopia,Electronics,false,placerat ante nulla,148,impactful,Laptops and Desktops,true
Icemobile Twister,645560469-5,2,Twinder,Kitchen,true,rutrum ac,211,non-volatile,,false
Sendo P200,741767194-2,206,Thoughtblab,Food - Spices & Seasonings,true,semper est quam,171,zero tolerance,Laptops and Desktops,false
ZTE F600,614184177-5,317,Voonder,Food - Condiments,false,quam,156,analyzer,Mobile Devices,true
Samsung A110,969966093-7,,Youopia,Health,false,nullam molestie nibh in,155,Fully-configurable,Laptops and Desktops,false
Nokia 108 Dual SIM,141310946-2,392,Zoonder,Food,false,amet eleifend,110,Distributed,Mobile Devices,false
ZTE Blade A7 Vita,365874414-6,414,Kwideo,Food - Condiments,false,a suscipit nulla elit ac,124,hardware,Laptops and Desktops,true
Casio G'zOne Ravine 2,686829461-1,246,Blognation,Food - Produce,true,aliquet massa,,pricing structure,Mobile Devices,false
Apple Watch Series 1 Aluminum 38mm,039217020-5,158,Twitterlist,Outdoor,true,vivamus vel nulla,35,directional,Laptops and Desktops,false
HP Slate 7,700630286-2,,Minyx,Food - Beverages,true,,89,Upgradable,Mobile Devices,false
ZTE nubia Z5S,437594739-X,238,Jaxbean,Food - Baking Goods,false,,161,motivating,Laptops and Desktops,true
Nokia E75,005961039-5,371,Realmix,Food - Meat,false,morbi non lectus aliquam,20,portal,,false
Sharp 802,390952262-9,112,Photobean,Kitchen,true,,200,concept,Mobile Devices,true
Posh Orion S450,207830441-7,264,Dazzlesphere,Food - Bakery,true,,41,zero defect,Mobile Devices,true
Spice M-5161n,120116618-7,,Topiczoom,Home Improvement,false,mattis nibh,55,,Mobile Devices,true
alcatel OT Easy db,444568132-6,207,Jetpulse,Food - Beverages,false,nec condimentum neque sapien placerat,223,3rd generation,Laptops and Desktops,false
Nokia 7370,598449694-1,,Tanoodle,Food - Sauces,false,risus auctor sed tristique,54,orchestration,Mobile Devices,false
Siemens Xelibri 3,448110997-1,224,Quinu,Food - Snacks,true,accumsan,77,full-range,Laptops and Desktops,false
Sony Xperia E4 Dual,628798012-5,326,Babbleopia,Home,true,in,22,empowering,Laptops and Desktops,true
HTC DROID Incredible 4G LTE,167674776-1,113,Livepath,Home,false,ipsum ac tellus semper interdum,183,Pre-emptive,Laptops and Desktops,true
VK Mobile VK300,753392837-7,194,,Food - Soups,true,amet consectetuer adipiscing elit,140,contextually-based,Laptops and Desktops,false
Samsung M140,018767165-6,126,Youspan,Food - Canned Goods,true,luctus et ultrices,91,methodical,Laptops and Desktops,false
Sony Xperia C4 Dual,164263537-5,487,Yodo,Food - Frozen Desserts,true,volutpat dui maecenas tristique,8,4th generation,Laptops and Desktops,true
Spice Mi-410,956412330-5,11,Digitube,Food - Soups,true,,133,Configurable,Mobile Devices,false
Amoi F320,623845185-8,292,Avaveo,Food - Dairy,true,,109,matrices,,true
BLU Studio Energy 2,214836284-4,410,Tagpad,Fitness,false,nulla,1,algorithm,Mobile Devices,true
Vodafone Smart V8,862360567-5,116,Ntags,Kitchen,true,nulla,,Synergized,Mobile Devices,true
Sony Ericsson Xperia PLAY CDMA,527902631-X,84,Blogtags,Home,true,ut erat,114,disintermediate,Mobile Devices,false
BlackBerry Q10,647562164-1,,Shufflebeat,Clothing - Activewear,true,,,scalable,Mobile Devices,true
Micromax Canvas Mega 2 Q426,130166698-X,387,Myworks,Food - Baking,true,dictumst,200,,Mobile Devices,false
Pantech Ease,836781726-5,18,,Food - Beverages,false,etiam pretium iaculis,116,,Mobile Devices,false
Samsung Galaxy Note5 (USA),284167485-1,337,Buzzdog,Kitchen,false,eros viverra eget congue eget,87,Innovative,Mobile Devices,true
vivo V5 Lite (vivo 1609),113880040-6,398,Fanoodle,Outdoor,false,diam nam tristique,204,help-desk,Mobile Devices,true
Lava Iris Atom 2,575387374-X,,Zazio,Outdoor,true,primis in,189,disintermediate,Mobile Devices,false
Orange Rio II,881788349-2,260,Flipopia,Food - Canned Goods,true,praesent blandit nam,134,,Laptops and Desktops,true
HTC Desire 310 dual sim,439888674-5,155,Skivee,Home,true,vestibulum rutrum,116,empowering,Mobile Devices,false
T-Mobile Prism II,324497046-X,482,Feedfire,Food - Snacks,false,lacus morbi quis tortor,170,foreground,Mobile Devices,true
ZTE Score,544476269-2,183,Oyonder,Home,true,,155,Centralized,Laptops and Desktops,false
ZTE Grand X2,062433845-2,,Devpoint,Food - Snacks,true,,52,methodology,Laptops and Desktops,true
Sony Xperia T3,628866930-X,231,,Food - Prepared Meals,true,mauris lacinia sapien,45,Multi-lateral,Mobile Devices,true
ZTE Quartz,477306420-X,417,Gabvine,Kitchen,true,ante nulla justo aliquam quis,151,definition,Laptops and Desktops,false
Spice Mi-300,692273586-2,89,,Food - Meats,true,amet diam in magna,,Organized,Laptops and Desktops,false
Xiaomi Redmi 1S,328736254-2,87,Bubblemix,Food - Bakery,false,nisi venenatis,111,Operative,Laptops and Desktops,true
Motorola C975,983114596-8,265,Fiveclub,Home,false,leo rhoncus,187,Polarised,Mobile Devices,true
Nokia 6555,439776430-1,54,Devify,Beauty,false,pulvinar nulla pede,132,interactive,Laptops and Desktops,false
Micromax Canvas Juice 3 Q392,041650909-6,457,Quimm,Kitchen,true,ligula sit,165,Total,Mobile Devices,true
Motorola A668,554484988-9,355,Quaxo,Clothing - Bottoms,true,turpis a pede,204,encompassing,,false
Acer Iconia Tab B1-A71,745628895-X,175,,Food - Meat,true,metus,220,user-facing,Laptops and Desktops,true
Sony Xperia 1,191960737-4,98,Trilia,Food - Frozen Food,false,pulvinar,7,synergy,Laptops and Desktops,false
HTC Desire 826 dual sim,584675238-1,227,Blognation,Outdoor,true,sit amet nunc viverra,218,Front-line,Mobile Devices,true
Nokia 8910i,575235401-3,,,Clothing - Outerwear,true,posuere,130,success,Laptops and Desktops,true
Lenovo S5 Pro GT,379228386-7,57,Gabvine,Food - Nuts,false,sit,72,frame,Laptops and Desktops,false
Sony Xperia R1 (Plus),978989927-0,26,Wikizz,Clothing - Outerwear,true,pellentesque at nulla,161,,Mobile Devices,false
Samsung G800,330180166-8,227,Youopia,Food - Frozen Foods,false,elementum nullam varius nulla,60,toolset,Laptops and Desktops,true
BenQ C36,235859543-8,35,Dabjam,Outdoor,true,congue,21,tangible,Mobile Devices,true
ZTE Grand X4,768289064-9,,Roomm,Food - Baking,true,amet eros,,productivity,Laptops and Desktops,true
alcatel Idol 3 (4.7),019851326-7,146,Flashspan,Kitchen,false,,134,product,Mobile Devices,true
Orange Gova,190866359-6,206,Babbleopia,Furniture,false,natoque penatibus et magnis,222,didactic,Mobile Devices,false
Huawei P9 lite mini,613330262-3,169,Twinte,Food - Meat,true,in hac habitasse platea,39,toolset,Mobile Devices,false
Huawei nova 5z,613496708-4,107,Wordpedia,Kitchen,true,quis orci nullam,,Optional,Mobile Devices,true
BLU Quattro 4.5,225157828-5,,Jetpulse,Art Supplies,true,lectus suspendisse potenti in eleifend,147,User-centric,Mobile Devices,false
Xiaomi Redmi Note 9S,394122127-2,52,,Food - Frozen Meals,false,,215,Assimilated,Mobile Devices,false
Sony Ericsson txt,249348626-9,285,Yata,Food - Sauces,false,sociis natoque penatibus et magnis,87,circuit,Laptops and Desktops,false
Samsung SGH-2400,212668016-9,276,Feedmix,Electronics,false,vestibulum ante ipsum primis in,173,Public-key,Mobile Devices,true
Asus Zenfone Max Pro (M2) ZB631KL,921677536-X,380,Brightdog,Food - Deli,false,diam nam,141,framework,Mobile Devices,false
Icemobile Blizzard,843676951-1,22,,Electronics,true,vestibulum ante ipsum,146,Persevering,Mobile Devices,false
LG K50S,769090080-1,136,Skinix,Food - Snacks,false,integer ac neque,108,value-added,Laptops and Desktops,true
Gigabyte g-Cam,364976931-X,489,Muxo,Food - Condiments,true,ultrices posuere cubilia curae,185,infrastructure,Laptops and Desktops,true
Sony Ericsson T707,653535757-0,139,,Food - Baking,true,amet sem,,hierarchy,Mobile Devices,false
Parla Gala,410944635-X,125,Twinte,Office,false,in,2,moderator,Mobile Devices,true
Samsung Gravity TXT T379,066658680-2,,,Accessories,true,donec ut,103,Phased,Laptops and Desktops,true
alcatel OT-813D,336531585-3,297,Quamba,Fitness,true,nunc vestibulum ante,33,analyzing,Mobile Devices,false
Samsung M2710 Beat Twist,937900786-8,101,Topdrive,Food - Breakfast,false,viverra,44,well-modulated,Laptops and Desktops,true
Celkon C44+,782632720-2,301,Photospace,Food - Canned Goods,true,fusce congue,165,Re-contextualized,Mobile Devices,true
Celkon A19,062432194-0,369,Zoomdog,Food - Beverages,true,orci luctus,219,,Mobile Devices,true
Archos 50 Diamond,976090937-5,355,Topiclounge,Automotive,true,velit,129,,Laptops and Desktops,false
HP iPAQ h6325,564498672-1,422,Jabbercube,Food - Snacks,false,augue a suscipit nulla elit,91,model,Mobile Devices,false
Samsung Galaxy A70,365480493-4,125,Devpoint,Food - Frozen Foods,true,in,188,encryption,,false
Kyocera TG 200,742681282-0,121,Gabvine,Food - Bakery,false,pede posuere nonummy,185,non-volatile,Laptops and Desktops,true
Samsung Galaxy J7 Max,432354299-2,308,Voonyx,Food - Meat,true,non mi integer,184,Ergonomic,Laptops and Desktops,false
Panasonic X300,621854840-6,339,Eamia,Electronics,false,lacus at velit vivamus vel,20,,Laptops and Desktops,true
HTC Desire 620,435021971-4,472,,Kitchen,true,etiam faucibus cursus urna,139,task-force,Laptops and Desktops,true
Samsung Galaxy A52,586842212-0,499,Omba,Clothing - Shirts,true,turpis eget,,hub,Laptops and Desktops,false
Infinix Note 8,268884921-2,154,Skyble,Kitchen,true,at vulputate vitae nisl,188,tertiary,Mobile Devices,true
Infinix Note 6,354470367-X,237,Einti,Kitchen,true,id turpis integer aliquet,218,24/7,Mobile Devices,false
Sony Xperia Z4 Ultra,785096549-3,4,Trupe,Clothing - Footwear,false,ut,,help-desk,Mobile Devices,false
Lenovo Tab 2 A7-30,731678986-7,375,Ooba,Home,false,in porttitor pede,176,dynamic,Mobile Devices,true
Celkon C102,833002519-5,148,,Home,false,quisque erat eros viverra,,zero defect,Mobile Devices,true
Microsoft Lumia 950 XL Dual SIM,318414251-5,,Dynabox,Fitness,false,in eleifend quam a odio,55,fresh-thinking,Mobile Devices,false
Samsung Galaxy Tab 4 7.0 LTE,751305562-9,120,Jetwire,Safety,true,magna vulputate,167,Fundamental,Mobile Devices,true
Motorola WX265,363035727-X,392,Thoughtbridge,Food - Snacks,false,mi,109,open architecture,Laptops and Desktops,true
Panasonic X400,855341697-6,330,Yodo,Kitchen,true,at turpis a pede,92,Total,Laptops and Desktops,true
Xiaomi Redmi 2 Prime,982325690-X,36,Tagfeed,Food - Health/Protein,true,suspendisse accumsan tortor quis,80,task-force,,true
Ulefone Armor 8 5G,594114022-3,292,Bubblebox,Food - Canned Goods,true,integer ac leo pellentesque ultrices,89,system-worthy,Mobile Devices,true
Samsung M2510,742152677-3,,Vipe,Food - Sauces,false,convallis morbi odio,58,throughput,,false
HP Pro Slate 10 EE G1,971454987-6,26,Trudoo,Food - Beverages,true,nam,202,,Mobile Devices,false
Nokia 6263,278820982-7,51,Fivebridge,Clothing - Tops,false,scelerisque mauris sit amet eros,206,Centralized,Mobile Devices,false
alcatel OT 511,649941026-8,72,,Food - Dairy,true,enim blandit mi in,,Streamlined,Mobile Devices,true
BLU Tank 4.5,046545944-7,41,Latz,Food - Grains,false,luctus rutrum nulla tellus,101,,Laptops and Desktops,false
Honor 3,155480098-6,15,Gabspot,Food - Sides,false,mattis odio donec vitae,207,solution-oriented,Laptops and Desktops,true
Yezz Clasico YZ300,065664378-1,215,Jaxbean,Food - Frozen Foods,true,,213,,Laptops and Desktops,false
OnePlus 5T,110409110-0,80,Blogpad,Clothing,true,nullam,48,Horizontal,Laptops and Desktops,true
Motorola Moto G 4G (2nd gen),123500680-8,319,Tekfly,Kitchen,false,duis bibendum morbi non quam,60,Object-based,Laptops and Desktops,true
Bird S798,555881529-9,1,Skaboo,Food - Dairy,false,,45,Triple-buffered,Laptops and Desktops,true
Yezz Andy 3.5E2I,797058746-1,59,Wordify,Home,false,eros viverra eget,75,encompassing,Laptops and Desktops,true
Huawei Enjoy 9e,432908891-6,495,Twitterbridge,Food - Snacks,false,ut,130,task-force,Laptops and Desktops,false
alcatel OT-S107,760259621-8,5,Gabtype,Food - Bakery,false,diam neque vestibulum,,pricing structure,Mobile Devices,false
Motorola RAZR XT910,510148362-1,175,Quatz,Home,false,massa tempor convallis nulla,,Face to face,Mobile Devices,true
Celkon Q405,463498769-4,19,Fadeo,Food - Meat Alternatives,false,nec dui luctus,67,alliance,Laptops and Desktops,false
Sony Xperia XA1 Plus,562397573-9,387,Quatz,Food - Condiments,false,sed tristique,180,uniform,Laptops and Desktops,true
HTC Flyer,925094309-1,385,Feednation,Automotive,true,consectetuer,,service-desk,Mobile Devices,false
Samsung S3100,537739818-1,96,Meejo,Garden,true,,157,,Mobile Devices,true
Sony Xperia XZ3,516128930-9,293,Yamia,Kitchen,true,nibh fusce,77,Team-oriented,Mobile Devices,true
Bosch Com 908,403485910-5,451,Jetpulse,Food - Beverages,false,potenti,101,contextually-based,Mobile Devices,true
Realme X50 5G (China),719606132-2,,Yodo,Food - Canned Goods,true,,52,Object-based,Laptops and Desktops,true
i-mate Ultimate 6150,891536644-1,103,,Pets,false,odio curabitur convallis duis,208,Managed,Laptops and Desktops,false
Amazon Fire HDX 8.9 (2014),603796891-8,26,Skinte,Safety,true,diam erat fermentum,63,neutral,Laptops and Desktops,false
LG GS290 Cookie Fresh,097733227-6,208,Mymm,Accessories,false,cubilia,170,Vision-oriented,Mobile Devices,false
Wiko View2 Plus,927192427-4,496,Abatz,Food - Snacks,true,sollicitudin,171,Devolved,,false
LG Thrive P506,000258648-7,224,Jaloo,Clothing,false,consequat morbi a,169,,Mobile Devices,true
Motorola E398,124105950-0,31,Devpulse,Food - Canned Goods,false,morbi sem mauris laoreet ut,160,Secured,,false
Nokia Lumia 2520,949883550-0,96,Tagtune,Kitchen,true,etiam justo etiam pretium iaculis,,Right-sized,Laptops and Desktops,true
Micromax Unite 4 plus,023597742-X,284,Browsedrive,Health,true,consectetuer,11,analyzing,Laptops and Desktops,true
Celkon C356,088693840-6,398,Buzzshare,Food - Frozen Food,true,nisi venenatis tristique,60,,Mobile Devices,true
alcatel ELLE No 3,769575330-0,258,Eire,Pets,true,,10,,Mobile Devices,false
