Name,Tag Color,EULA,Use Default EULA,Require Acceptance,Alert on Response,Category Type,Send Checkin Email,Notes
Outdoor Footwear,#add29f,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",false,false,true,component,false,ability
Leggings,#d6d0da,,true,false,true,accessory,false,knowledge user
Dog Toys,#041c90,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,false,true,true,component,false,middleware
Nuts and Trail Mix,#675d0e,,false,false,false,license,true,task-force
Frozen Appetizers,#84a0c4,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",true,true,true,license,false,global
Frozen Pasta Dishes,#cddba0,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",true,true,false,license,false,neural-net
Bedding & Linens,#36e083,,true,true,false,accessory,true,standardization
Home Decor,#eac3aa,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",true,true,false,consumable,true,Profound
Garden Tools,#22634b,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",false,true,false,consumable,false,even-keeled
Fresh Cut Vegetables,#d7bd04,,false,false,false,asset,false,maximized
Marinated Poultry,#909008,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",true,true,true,component,false,upward-trending
Camping Equipment,#db3e26,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",true,true,false,consumable,true,mobile
Graphic Tees,#eb243f,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",false,true,false,license,true,Triple-buffered
Camping Equipment,#3ef5e5,,true,false,false,accessory,true,composite
Headwear,,,false,false,false,license,true,Team-oriented
Herbs and Spices,#7be331,,false,true,false,consumable,true,ability
Women's Footwear,#985ef7,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",true,false,true,asset,false,heuristic
Garden Supplies,#e61c90,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",false,true,true,component,true,directional
Flours & Meals,#f7e2e8,,true,false,false,asset,false,internet solution
Wraps/Rolls,#1668c8,,true,true,false,license,true,paradigm
Salads,#08923a,,true,true,false,license,true,Down-sized
Pasta,#859542,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",false,false,true,consumable,true,explicit
Lighting & Lamps,#1f5257,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",true,false,false,license,false,Organized
Seasonings & Mixes,#be70a1,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",false,false,true,consumable,true,Reduced
Herb Blends,#3b9789,,true,true,false,license,false,Optional
Nut-Based Snacks,#4ee381,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",false,true,false,asset,false,didactic
Processed Meats,#ba9870,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",false,true,false,accessory,false,Mandatory
Food Storage Solutions,#44305d,,true,true,false,component,false,process improvement
Savory Snacks,#ac3242,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",false,true,false,consumable,false,client-driven
Sweet Snacks,#4b8ad6,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",true,true,true,component,true,Progressive
Soups & Broths,#0899e7,,true,true,false,asset,true,executive
Instant Breakfast,#62cc30,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",true,false,false,component,true,cohesive
Baking Accessories,#e3554f,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",true,false,true,license,false,Decentralized
Frozen Meals,#bff203,,true,false,true,accessory,true,clear-thinking
Grills and Smokers,#785d03,,false,true,false,accessory,true,infrastructure
Dressing,#d2c796,,false,true,false,component,false,policy
Frozen Vegetarian Meals,,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",true,false,false,asset,true,Self-enabling
Salsas,,,true,false,false,accessory,true,modular
Lip Care,#a1059d,Fusce consequat. Nulla nisl. Nunc nisl.,true,false,true,component,true,challenge
Vegetarian Salads,#7652e9,,false,false,false,license,false,Mandatory
Mustards,#c32538,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",false,false,true,consumable,true,3rd generation
Frozen Pasta Dishes,#a501a0,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,true,false,false,component,true,regional
Healthy Snacks,#cbaf0d,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",true,true,false,consumable,true,needs-based
Travel Accessories,#2c4737,,false,false,true,asset,false,parallelism
Home Accessories,#ca2052,,false,false,true,asset,true,optimal
Frozen Vegetables,#72f02f,,true,true,false,component,false,analyzing
Lighting & Lamps,#ab8558,,false,false,true,asset,false,fault-tolerant
Mobile Accessories,#6b32b6,,false,false,true,accessory,true,standardization
Marinades and Sauces,#c55385,,true,false,true,component,false,Vision-oriented
Inflation Equipment,#72ce24,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,true,false,false,license,false,frame
Granola & Muesli,#c7d0e8,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",false,false,true,consumable,false,artificial intelligence
Outdoor Footwear,#5196ea,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",false,false,false,component,false,Front-line
Small Appliances,#40e6ec,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",false,true,true,consumable,true,Synchronised
Eco-Friendly Accessories,#48f28c,,false,false,true,component,true,bandwidth-monitored
Vinaigrettes,#906b3e,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",false,false,false,accessory,true,portal
Kitchen Storage & Organization,#2ab6e7,,true,false,true,license,true,concept
Dairy Spreads,#e3525f,,false,false,true,accessory,false,Cloned
Plant-Based Cheese,#2fbeed,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",true,true,true,component,false,functionalities
Cooking Tools & Utensils,#ed6b75,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,true,true,false,license,false,capability
Home Organization,#737a5d,,false,false,false,asset,true,knowledge base
Salsa/Dips,#84e9ce,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",false,true,true,asset,false,Extended
Board Games,#0529bd,,false,false,true,asset,false,website
Coffee Equipment,#b4f2ab,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,true,false,true,accessory,false,hardware
Granola/Cereal,#821b97,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",true,true,false,asset,true,framework
Home Organization,#3f1134,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",true,true,true,accessory,true,success
Breads,#63c141,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",false,false,true,consumable,false,migration
Travel Accessories,#95eeca,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",true,true,false,consumable,false,Devolved
Small Appliances,#42c45a,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",true,true,false,asset,true,focus group
Garden Supplies,#4bdb68,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",false,true,false,component,true,Re-contextualized
Office Supplies,#2c5fd1,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",true,true,false,component,false,definition
Seasonings & Mixes,#dfac5e,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",false,false,false,asset,true,Business-focused
Blenders & Juicers,#535b71,,false,true,true,asset,true,methodology
Frozen Vegetables,,,true,false,false,asset,true,Adaptive
Health Drinks,#9cacd6,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,false,true,false,consumable,true,logistical
Bottoms,#658242,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",true,false,false,component,false,approach
Wellness & Relaxation,#a3eb32,,true,false,false,asset,true,Automated
Sparkling Beverages,#51d35f,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",true,false,true,license,true,Ergonomic
Nut-Based Snacks,#b7c068,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",false,false,true,asset,false,User-friendly
Sweet Snacks,#31176a,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",true,false,false,accessory,true,Streamlined
Leggings,#1a9a79,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,false,false,true,consumable,true,Public-key
Prepared Seafood,,,false,false,true,component,false,Front-line
Wraps and Flatbreads,#deec2a,,false,false,true,asset,true,interface
Loungewear,#aef7fa,,true,false,false,license,true,emulation
Educational Toys,#466309,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",false,false,true,asset,true,Total
Marinated Poultry,#c17770,,true,false,true,license,false,initiative
Breads,#c78bda,,false,false,false,license,true,Decentralized
Home Organization,#24a0a5,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",false,false,false,asset,false,website
Cooking Tools & Utensils,#bf0288,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",true,false,true,consumable,false,background
Drink Mixes,#c2b426,,true,false,true,license,false,Enterprise-wide
Bedding & Linens,#f7cc94,,false,false,false,component,true,budgetary management
Breads,#af5c26,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",false,true,true,license,false,task-force
Footwear - Boots,,,false,false,true,license,true,even-keeled
Plant-Based Yogurt,#76e247,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",false,false,true,component,true,paradigm
Legumes,#1a571b,,true,true,true,accessory,true,definition
Italian Sauces,#0c8f75,Sed ante. Vivamus tortor. Duis mattis egestas metus.,false,false,false,accessory,false,eco-centric
Outerwear,#789953,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",true,false,true,consumable,false,hierarchy
Frozen Meals,,,true,true,true,accessory,true,capacity
Baking Mixes,#4ab0dc,,true,false,false,asset,false,Advanced
Dessert Toppings,#cfc1e2,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",true,true,false,accessory,false,Upgradable
Camping Equipment,#d43d2b,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",false,false,true,asset,true,impactful
Eco-Friendly Kitchen Products,#a1441d,,true,true,false,consumable,false,heuristic
Lighting & Lamps,#925e79,,true,true,true,accessory,true,radical
Leggings,#3dd107,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",true,false,true,license,true,Synchronised
Office Accessories,#28509f,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",true,true,false,license,false,middleware
Savory Snacks,#7c8789,Sed ante. Vivamus tortor. Duis mattis egestas metus.,false,false,false,license,false,Enterprise-wide
Frozen Meals,#277343,,true,false,false,license,true,5th generation
Citrus Seasonings,,,false,true,false,license,true,challenge
Pastries,#9502dd,,true,false,true,license,true,Business-focused
Frozen Snacks,#45d53d,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",false,false,true,component,false,dynamic
Camping Equipment,#08bcb9,,false,false,false,consumable,true,foreground
Travel Souvenirs,#f45cca,,true,false,true,asset,true,emulation
Tabletop Games,#c4b33d,,false,true,true,accessory,true,policy
Pet Accessories,#2f2418,,false,false,true,asset,true,Triple-buffered
Canned Vegetables,#d0e80c,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,true,true,true,asset,true,De-engineered
Athletic Footwear,#b7f879,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",true,true,true,accessory,true,Advanced
Dried Fruits,#5ac0ac,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",false,true,false,consumable,false,focus group
Frozen Pizza,#ecfe4a,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",false,false,true,license,false,24 hour
Condiments,,,true,false,false,component,false,forecast
Robotics Toys,#7f5762,,false,true,false,component,false,responsive
Jumpsuits,#098bef,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,true,true,true,license,true,framework
Frozen Chicken Wings,#c6a343,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",true,false,true,consumable,false,secondary
Sweeteners,#061964,,true,false,false,license,false,definition
Evening Wear,#8eab4f,,false,false,false,asset,true,standardization
Cheese,#8dd5bc,,true,false,false,license,false,matrices
Safety and Emergency Supplies,#ff5975,In congue. Etiam justo. Etiam pretium iaculis justo.,true,false,false,asset,false,eco-centric
Frozen Chicken Wings,#c08503,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",false,false,true,consumable,true,user-facing
Fruits,#e8f64d,,true,true,false,accessory,false,installation
Travel Accessories,#ad518f,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",true,false,true,consumable,true,standardization
Cookware,#17115d,,false,false,false,consumable,true,demand-driven
Small Appliances,#dfb016,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",false,false,false,accessory,true,productivity
Dried Fruits,#dc7db2,,true,true,true,asset,true,groupware
Cookbooks & Nutrition,#605da4,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",true,false,false,consumable,false,alliance
Savory Snacks,#da5cd3,,true,false,false,asset,true,conglomeration
Emergency Preparedness & First Aid,,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",true,true,true,component,true,frame
