Name,Category,Location,Supplier,Company,Quantity,Minimum Quantity,Model Number,Item Number,Notes,Manufacturer,Purchase Date,Purchase Cost,Order Number
Body Wash,Beauty,Columbeira,Cogibox,,42,99,705607840-0,401038057-8,Moisturizing body wash with natural ingredients.,Ainyx,2025-02-11,94.9,031301998
Spaghetti Squash,Food - Produce,Qinglong,Meembee,,53,72,955128023-7,,Low-carb vegetable for pasta alternatives.,,2025-04-17,50.63,
USB Wall Charger,Accessories,Looc,Wikizz,Flipopia,68,99,159270513-8,904155856-X,Multiple USB ports for charging devices simultaneously.,Muxo,2026-01-28,12.18,011900254
Almond Crunch Granola Bars,Food - Snacks,Cangkuang,Aimbo,,35,46,066427085-9,009305226-X,Nutty granola bars for healthy snacking.,Npath,,28.88,267091250
Stainless Steel Water Pitcher,Kitchen,,Fliptune,Gigaclub,65,2,582781800-3,452548003-3,Insulated pitcher to keep beverages cold or hot.,Blogtag,2025-01-30,35.76,
USB Flash Drive,Storage,Jenamas,Dabshots,Kimia,87,55,989867197-1,956086850-0,32GB USB flash drive with fast data transfer speeds.,Rhyzio,2025-03-14,14.85,091204763
Chocolate Almond Milk,Food - Dairy Alternatives,Witihama,Avaveo,Topiczoom,48,41,679593909-X,345606310-5,Rich and creamy almond milk with a hint of chocolate.,Eazzy,,70.12,052100725
Spicy Thai Chili Sauce,Food - Sauces,Uhlove,Rhycero,,92,95,704311621-X,253117694-2,A sweet and spicy sauce for dipping or cooking.,Yotz,2025-07-21,14.73,063200407
Stainless Steel Cutlery Set,Kitchen,Baoquan,Avaveo,Oodoo,79,17,149996504-4,,High-quality cutlery set for daily use or special occasions.,Zoomdog,2025-05-25,77.85,084104621
Garlic Naan Bread,Food - Bakery,Trubchevsk,Divanoodle,Quimba,13,54,,447624780-6,"Soft and delicious garlic-infused flatbread, perfect for dipping.",Oyoloo,2026-02-06,83.67,031902096
Garden Tool Set with Carrying Bag,Garden,Carlos Barbosa,Youtags,Npath,58,88,335634997-X,,Complete set for garden care with a handy carrying bag.,Photospace,2026-02-08,85.13,271979193
Multicolored LED Strip Lights,Home,Yuanshanzi,Mycat,Browsecat,3,71,413705698-6,440584593-X,Flexible LED lights for creative home lighting designs.,Aivee,2025-06-03,19.76,075902463
Chili Garlic Sauce,Food - Condiments,Badeggi,Edgetag,Miboo,13,69,152677058-X,568682797-4,"Spicy sauce made with chili peppers and garlic, great for stir-frying.",Kamba,2025-09-02,42.3,041203895
Sriracha Hot Chili Sauce,Food - Condiments,Nikol’skoye,Jaxnation,Skinte,9,91,975224269-3,,Spicy and tangy chili sauce for adding heat to any dish.,Fanoodle,2025-05-27,46.38,322285752
Almond Milk,Food - Dairy,Engel’-Yurt,DabZ,Zoonoodle,45,30,,616601449-X,"Deliciously creamy almond milk, perfect for smoothies.",Meeveo,2025-10-30,42.82,125107765
Electric Razor,Health,Golopau,Yodel,Devpoint,14,57,788911578-4,031433570-6,Rechargeable electric razor for a smooth shave.,Realcube,2025-09-01,56.3,114903190
Ricotta Cheese,Food - Dairy,Onomichi,Quinu,Gevee,74,41,234048696-3,398668422-0,,Jabberbean,2025-08-20,97.88,322285752
Sweet Potato Fries,Food - Frozen Foods,Ochobo,Shuffledrive,Quinu,98,76,436369847-0,288245369-8,"Crispy sweet potato fries, a delicious side dish.",InnoZ,2025-08-22,90.06,021300640
Window Blinds,Home,Luthu,DabZ,Reallinks,98,56,443974433-8,131800067-X,Adjustable window blinds for privacy and light control.,Jabberbean,2025-08-20,64.91,
High-Speed Blender,Kitchen,Taesal-li,Kwinu,Kwideo,35,72,685659867-X,,,Livetube,2025-03-24,96.67,084303082
Smoked Paprika Chicken Thighs,Food - Meat,,Dabfeed,Skiba,25,3,862399504-X,541130837-2,Marinated chicken thighs with smoked paprika for a smoky flavor.,Quamba,2025-09-21,42.03,026001423
Wildflower Honey,Food - Condiments,Būlaevo,Edgeblab,Realfire,57,62,,,Natural honey sourced from wildflowers.,Browseblab,2025-07-01,29.8,082904166
Cranberry Almond Cookies,Food - Bakery,Ar Rujum,Avamm,Skyba,84,36,950722859-4,592814401-6,Delicious cookies with cranberries and almonds in every bite.,Demimbu,2025-02-15,36.85,101110640
Roasted Red Pepper Hummus,Food - Dips,La Rochelle,Zoombeat,Voolith,53,8,439170483-8,,A creamy and flavorful hummus made with roasted red peppers.,Leexo,2025-10-16,,042107068
Ginger Tea,Food - Beverages,Gò Dầu,Tagchat,Mydeo,72,100,995723921-X,873870685-7,A soothing herbal tea made from ginger root.,Vinder,2025-01-16,1.86,103101330
Weighted Jump Rope,Fitness,Thị Trấn Quảng Uyên,Twitterbeat,Zooxo,96,55,079062725-6,295920875-7,,Livetube,2025-12-09,60.71,082902391
Ceramic Bakeware Set,Kitchen,Heshui,,Edgeclub,91,2,,354186200-9,Durable ceramic bakeware for casseroles and desserts.,Vinder,2025-01-13,11.98,021409567
Coconut Lime Rice,Food - Sides,Ancahuasi,Yacero,Bluezoom,10,83,996096171-0,108454726-0,"Flavorful rice mixed with coconut and lime, a tropical side dish.",Photobug,2025-07-20,98.67,091903035
Car Sunshade,Automotive,Ayorou,Yodo,Wordtune,68,67,106403344-X,,Windshield sunshade for car interior protection.,Rhyzio,2025-04-17,12.16,111914849
Voice-Controlled Speaker,Audio,Calgary,Thoughtsphere,Wikido,13,19,889137470-9,240852549-7,Smart speaker with Alexa and music streaming features.,Quaxo,,3.34,111904231
Mini Pretzels,Food - Snacks,Kasamwa,Brightbean,Gigazoom,81,46,,353643440-1,"Crispy mini pretzels, a great snack any time of day.",,,20.7,041203895
Classic Black Dress,Clothing - Dresses,Kumalarang,Eire,Youtags,51,2,059303795-2,363613230-X,A versatile black dress that can be styled for any occasion.,Zooxo,2026-02-12,82.29,067016341
Kitchen Scale,Kitchen,Apeldoorn,Midel,Eidel,100,3,267707096-0,949570582-7,Digital scale for precise cooking measurements.,Gabcube,2026-02-10,40.31,021502095
Portable Laptop Table,Office,Bù Đốp,,Innotype,57,36,465977373-6,552095848-3,Foldable table for working with laptops anywhere.,Skilith,2025-03-06,87.64,075906061
Wild Rice Pilaf,Food - Grains,Thawat Buri,Quimm,Bubblebox,85,77,338694572-4,946374855-5,"A mix of wild rice with herbs and spices, ready to serve.",Gigazoom,2025-06-06,92.48,071108313
Coconut Lime Rice,Food - Sides,Markham,,Browsedrive,11,33,049262545-X,786455629-9,"Flavorful rice mixed with coconut and lime, a tropical side dish.",,2026-01-07,49.34,044000804
Craft Beer Mustard,Food - Condiments,Qilin,,Meedoo,23,62,,691416015-5,Stone-ground mustard infused with craft beer for a gourmet touch.,Kamba,2025-12-09,90.66,081211135
Classic Black Trousers,Clothing - Pants,Gimcheon,Jaxnation,Layo,36,67,821992587-6,,Timeless black trousers for a smart and sophisticated look.,Photobug,2025-06-14,37.88,021101470
Luxury Rolling Makeup Case,Beauty,Horad Pinsk,Voomm,Babbleopia,48,63,340296380-9,421466405-1,,,2025-10-21,11.43,
Wireless Range Extender,Electronics,Paluan,Jabberstorm,Gabcube,59,56,975389817-7,434600732-5,,Lajo,2025-10-02,90.18,082901224
Dog Training Collar,Pets,Shangzhuang,Avaveo,LiveZ,7,32,046639715-1,296495486-0,,Divavu,2025-12-02,91.72,071112105
Luxury Memory Foam Mattress Topper,Home,Morrito,Skiba,Eimbee,17,68,349754431-0,,Adds extra comfort to your mattress for a better night's sleep.,Muxo,2025-05-07,2.53,067011142
Creamy Coleslaw Mix,Food - Produce,Loudun,Realbuzz,Camido,27,98,863881660-X,796505199-0,Shredded cabbage and carrots for coleslaw.,Riffwire,2025-08-09,74.92,064003962
Crispy Rice Treats,Food - Snacks,Huyuan,Agivu,Wikibox,12,72,094154658-6,418064821-0,Classic marshmallow treats made with crispy rice.,Leexo,2025-01-24,47.84,101114659
Coconut Macaroons,Food - Confectionery,Zernograd,Topicware,Thoughtbeat,60,10,649044837-8,784357920-6,"Chewy cookies made with coconut, perfect for sweet cravings.",Pixoboo,2025-07-13,38.66,081904808
Applewood Smoked Bacon,Food - Meat,,,Zooveo,53,21,231946663-0,836319642-8,,Devshare,,58.23,
Thai Red Curry Paste,Food - Condiments,Roissy Charles-de-Gaulle,Quatz,Linktype,48,43,825131185-3,,Spicy and flavorful curry paste for authentic Thai dishes.,Meembee,,85.72,051405515
Pasta Maker Machine,Kitchen,,Yakidoo,Voomm,44,8,718397016-7,499551980-7,Manual pasta maker for creating fresh pasta at home.,Eire,2025-10-21,15.37,
Coconut Milk,Food - Canned Goods,Barda,Trudeo,Livetube,54,48,982601096-0,195695153-9,,Voolith,2025-03-26,,062203269
Spinach Artichoke Dip,Food - Snacks,Arnage,Feedmix,Rhybox,93,34,396738012-2,523645526-X,,Gabtune,2025-07-26,6.4,051405324
Outdoor Fire Pit,Outdoor,Kawakawa,Gigazoom,Fivebridge,37,87,020142739-7,,Portable fire pit for backyard gatherings.,Centizu,2025-08-08,,314973593
Smart WiFi Plug,Smart Home,Kananga,,Centidel,27,8,911835235-9,364702916-5,Control appliances remotely using your smartphone.,Dynazzy,2025-11-09,28.67,103101165
Portable UV Sterilizer,Health,Hamberang Sabrang,Brightbean,Abata,88,98,144489950-3,983566149-9,Compact sterilizer for disinfecting small items.,Brightdog,2025-05-09,45.67,101113935
Travel Jewelry Organizer,Accessories,Ikar,Photojam,Jabberstorm,28,68,139661342-0,617111305-0,Compact storage for your jewelry while traveling.,Myworks,2025-11-08,35.94,055002286
Portable Hammock Swing,Outdoor,Quanling,Oba,Skimia,12,29,926973662-8,140758485-5,Lightweight and portable swing hammock for relaxing outdoors.,,2025-12-24,19.41,111308057
Almond Flour Brownies,Food - Baking,Laslovo,Jabberbean,Zoozzy,65,89,183337190-9,398657325-9,Deliciously rich brownies made with almond flour.,Yambee,2025-03-21,77.99,122106455
Peach Yogurt,Food - Dairy,Bagombong,Photojam,Dazzlesphere,66,74,747650760-6,625439813-3,Creamy peach-flavored yogurt with real fruit.,Jetpulse,2025-10-21,17.14,241071762
Sour Cream,Food - Dairy,Popayán,Leexo,Jetwire,2,76,734319911-0,059119034-6,"Tangy sour cream, perfect for dips and toppings.",Oodoo,2025-10-13,49.92,075911373
Vegan Caesar Dressing,Food - Condiments,Uromi,Leenti,Dynabox,6,76,127072042-2,557516440-3,"Creamy vegan dressing made with cashews, perfect for salads.",Linktype,,39.2,061220353
Field Journal,Books,Rushanzhai,Ntag,Tagfeed,58,71,575724939-0,,Durable journal for nature observations and notes.,Kazu,2025-10-25,15.8,322070019
Gaming Headset,Gaming,Briteiros Santa Leocádia,Zooxo,Voonyx,89,59,720451756-3,082397789-7,,,2025-09-24,66.64,091214630
Wall Planner,Office,Las Palmas,Feedfish,Oyope,9,1,766604307-4,,Large wall planner for organizing schedules.,Wordware,2026-01-01,5.92,091901684
Chicken Broth,Food - Canned Goods,Ludvika,Flipstorm,Katz,100,78,826572978-2,,"Rich and flavorful chicken broth, great for soups.",Yabox,,93.39,113116292
Digital Camera,Electronics,Babantar,Aimbu,Livepath,33,38,045916244-6,623936601-3,Compact digital camera with 20MP resolution.,Chatterbridge,2025-08-28,12.73,322276949
Smart Thermostat with Wi-Fi,Smart Home,,Yata,Dazzlesphere,4,20,159352593-1,607202817-9,Wi-Fi enabled thermostat that learns your habits.,,2025-06-12,73.21,067009785
Folding Exercise Bike,Fitness,Mertani,Mita,Vinder,89,74,022969119-6,167897266-5,,Avamba,2025-01-28,65.7,067015973
Fruit & Nut Trail Mix,Food - Snacks,,Leenti,InnoZ,14,70,139562843-2,652501566-9,"A blend of dried fruits and nuts, great for snacking.",,2026-01-07,31.54,271172987
Energy Protein Bars,Food - Snacks,Nueva Esperanza,Brightbean,Blogtags,54,9,249855777-6,516321497-7,Nutritious bars packed with protein for energy,Trudoo,2025-06-02,4.86,083986662
Pasta Portion Control Measure,Kitchen,Issad,Feedfish,Demimbu,95,96,903594118-7,487306542-9,,Kanoodle,,81.83,022000127
Basil Pesto Pasta,Food - Prepared Meals,Claveria,Jazzy,,56,22,808898376-2,520536215-4,"Pasta tossed with fresh basil pesto, simple and delicious.",Centizu,2025-10-14,71.61,057004680
Comfy Slippers,Footwear,Inya,Meezzy,Tagchat,24,81,600670151-0,,Soft and cozy slippers for indoor wear.,Camimbo,2025-09-14,,042107754
Red Lentils,Food - Grains,Murree,Zoozzy,Dabvine,85,42,,,Nutritious and quick-cooking red lentils.,Cogilith,2025-05-24,,253184427
Waffle Maker,Kitchen,Karang Daye,Brightdog,,24,53,469177463-7,395772267-5,Make delicious waffles with this user-friendly device.,Feedbug,2025-07-23,35.54,265270222
Smartphone Photography Ring Light,Photography,Iłowa,Yoveo,Jabbersphere,76,29,963391057-9,515037516-0,Portable ring light that enhances your photos with perfect lighting.,Feednation,2025-05-19,87.18,051005106
Air Fryer Oven,Kitchen,Itaquaquecetuba,Lajo,Kimia,97,84,963523923-8,313340264-1,"Versatile air fryer that also roasts, bakes, and broils.",Abatz,2025-07-23,14.43,231971568
Apple Cinnamon Oatmeal,Food - Breakfast,Taphan Hin,Eazzy,,45,51,019004520-5,987485781-1,Warm oatmeal flavored with apple and cinnamon.,Linkbridge,2025-11-25,70.96,211370590
Travel Shoe Bags Set,Travel,Liangshuijing,Omba,Skalith,56,91,069253660-4,418297884-6,Set of breathable bags for organizing shoes while traveling.,Fadeo,2025-08-15,,114902874
Honey Mustard Dip,Food - Condiments,Gwangju,Wikizz,Browseblab,48,51,171470260-X,993562569-9,,Katz,2025-07-01,,125107008
Wooden Kitchen Utensil Set,Kitchen,Lazaro Cardenas,Meejo,Dabfeed,18,89,178468756-1,694260438-0,Eco-friendly utensil set made from natural wood.,Quire,2025-12-19,43.0,092901476
Smart LED Light Strip,Home,Mendi,Twinte,Yodo,74,4,311882476-X,,"Customizable RGB LED light strip, perfect for mood lighting.",Realbridge,,84.02,073907091
Vegetable Lasagna,Food - Frozen Foods,Zengtian,Devbug,Devshare,69,64,115666345-8,315527952-4,"Layers of pasta, veggies, and cheese baked to perfection.",Blogpad,,69.75,101103466
Ramen Noodle Soup Cups,Food - Prepared Meals,Terang,Skinder,Topicware,9,84,937772267-5,143044051-1,Instant ramen cups with flavor-packed broth.,Trilith,2025-08-21,97.35,074906800
French Onion Dip,Food - Condiments,Shucheng Chengguanzhen,Edgewire,Wikibox,8,98,536927812-1,704990055-9,"Creamy dip made with real onions and spices, great for chips and veggies.",Skilith,2025-11-12,95.23,071102995
Pumpkin Spice Pancake Mix,Food - Breakfast,Cicapar,Rhyzio,Shufflebeat,13,2,822836880-1,110087510-7,Pancake mix infused with seasonal pumpkin spice flavor.,Skalith,2025-12-11,59.65,107006143
Canvas High-Top Sneakers,Clothing - Footwear,Zhoukoudian,,Fliptune,42,39,338196306-6,116350005-4,Trendy high-top canvas sneakers for a stylish streetwear look.,Wikivu,2025-04-29,28.59,055002480
Chic Jumpsuit,Clothing - Jumpsuits,Banjar Tengahbelayu,Ozu,Roomm,78,47,351162113-5,912111234-7,,Photofeed,2025-01-09,,073907091
Adjustable Yoga Mat Strap,Fitness,Emiliano Zapata,Meemm,,79,44,006071498-0,992231316-2,Convenient strap for carrying yoga mats to class.,Jaxnation,,20.46,107004459
Apple Pie Filling,Food - Canned Goods,Luhansk,Jaxworks,Kazu,71,39,784754732-5,475541230-7,"Sweet and spiced apple filling, perfect for pies.",Jazzy,2025-07-22,13.31,111924800
Fitness Tracker Band,Fitness,Sadek,Kwideo,Quinu,54,93,290417712-4,831157188-0,Affordable fitness tracker with heart rate monitor.,,2026-02-04,78.35,122105647
Vanilla Protein Powder,Food - Health/Protein,Rimpakgede,Kaymbo,Fatz,64,45,,214386787-5,A high-quality protein powder perfect for smoothies and baking.,Livepath,2025-12-23,12.75,082905136
Comfy Slippers,Footwear,Rokycany,Youfeed,Midel,37,69,,608734342-3,,Jayo,2025-12-24,,
Maple Pecan Oatmeal Cookies,Food - Bakery,,Cogibox,Digitube,63,31,663954554-3,260006637-3,Soft oatmeal cookies with maple and pecans.,Thoughtstorm,2025-01-21,87.25,071100858
Olive Oil,Food - Condiments,Kantemirovka,Wikibox,Abatz,37,81,135787131-7,768260705-X,"Extra virgin olive oil, ideal for cooking and salads.",Riffwire,2025-07-06,78.64,
Smartphone Gimbal,Electronics,Corani,,Skilith,65,49,036806401-8,510209390-8,,Realbuzz,2025-09-12,6.35,
Pet Grooming Gloves,Pets,Amiens,Avamm,Voolith,66,58,264107204-1,509605235-4,Gentle grooming gloves for shedding pets.,Avamm,2025-07-19,23.99,062102849
Personal Blender with Travel Lid,Kitchen,Arroio do Meio,Jabbersphere,Yamia,18,21,088038068-3,752335950-7,Blender designed for smoothies and shakes on the go.,,2025-11-12,51.68,114900025
Smartphone Holder for Car,Automotive,Nevel’sk,Riffpedia,Aibox,4,56,358661433-0,321646262-5,Secure phone mount for your vehicle's dashboard.,Flipopia,2025-08-08,85.14,065200874
Frozen Berry Medley,Food - Frozen Foods,Xiakouyi,Skipstorm,,93,54,875749124-0,538932357-2,,BlogXS,2025-10-03,40.58,082001700
Garlic Herb Grilled Chicken,Food - Frozen Foods,Baganhilir,Jatri,Eayo,33,92,,600956338-0,Marinated grilled chicken breasts seasoned with garlic and herbs.,Nlounge,2025-01-03,78.42,101019084
Yoga Mat,Fitness,Strawczyn,Rhyloo,Chatterpoint,94,25,,350076484-3,Non-slip yoga mat for optimal grip and comfort.,Mymm,2026-01-25,77.63,211170046
Multifunctional Baby Bottle Warmer,Baby,Pasirhaur,Avavee,Zoomlounge,32,95,393686245-1,930179473-X,Warmer for heating baby bottles and food jars.,Edgeclub,2026-01-04,63.23,074905173
Spicy BBQ Sauce,Food - Condiments,Muang Sing,Cogilith,Demivee,68,29,880240589-1,669297733-9,A tangy and spicy BBQ sauce that's perfect for grilling.,Twitternation,2025-12-13,81.02,113125953
Portable Hand Warmer,Accessories,Bang Racham,Leexo,Lajo,49,22,583874694-7,183434540-5,Rechargeable hand warmer for cold weather comfort.,Thoughtblab,2026-01-22,14.43,053201869
Insulated Sport Tumbler,Fitness,Lagarto,Thoughtstorm,Fivebridge,30,19,,449699132-2,Vacuum-insulated tumbler for beverages on the go.,Demizz,2025-12-22,16.67,
Collapsible Folding Chair,Outdoor,Kalmar,Buzzster,Youopia,62,99,700510598-2,700925783-3,Lightweight and portable chair for camping or events.,Omba,2024-12-27,55.73,104901717
USB Wall Charger,Accessories,Bhola,Linkbridge,Lazzy,78,64,951362299-1,953671628-3,Multiple USB ports for charging devices simultaneously.,Einti,2025-06-16,97.98,011304517
Lightweight Backpacking Tent,Outdoor,Dawu,Youtags,Tagpad,45,40,,536893699-0,Easy-to-set up tent designed for campers and hikers.,Quinu,2025-07-05,,072401608
Weighted Blanket,Health,Steinkjer,Wikizz,,33,91,023344515-3,719522048-6,Therapeutic weighted blanket for better sleep.,Viva,2025-03-27,17.7,031316271
Eco-Friendly Yoga Blocks,Fitness,Munturkaju,Flashpoint,Gevee,6,71,143135247-0,,Sustainable foam blocks for yoga practice.,Kazio,,38.51,075909903
Vegetable Stir Fry Mix,Food - Fresh Produce,Tromsø,Muxo,Topdrive,9,50,427446554-3,599325213-8,A mix of fresh vegetables for quick stir-fries.,Kanoodle,2025-01-11,54.37,107004381
Organic Baby Spinach,Food - Produce,Fort Beaufort,Kanoodle,Livetube,65,95,811256916-9,501775800-3,"Fresh baby spinach leaves, great for salads and smoothies.",Skiptube,2025-12-10,7.66,055003337
LED Desk Lamp,Home,,Centimia,Nlounge,77,43,681678303-4,771768558-2,Dimmable LED desk lamp with USB charging port.,Eabox,2025-05-27,99.1,271973937
Kids' Educational Tablet,Electronics,Cauayan,Einti,Zoomzone,29,51,656269694-1,,Learning tablet with kid-friendly educational apps.,Dynabox,2025-03-24,,026001423
Couscous Mix,Food - Grains,Sañgay,Flashset,Shuffletag,97,95,,083708713-9,"Fluffy couscous that cooks in just minutes, perfect as a side.",,2026-01-03,29.22,114012641
Classic Chicken Noodle Soup,Food - Canned Goods,Karanggeneng,InnoZ,Camido,80,42,061640138-8,779313478-8,A comforting soup filled with chicken and noodles in broth.,InnoZ,2025-11-29,83.74,063115178
Lentil Pasta,Food - Pasta,,Ooba,Myworks,73,81,,387043350-7,"Gluten-free pasta made from lentils, high in protein.",Yakidoo,2025-11-05,61.39,111922624
Men's Waterproof Hiking Boots,Footwear,Itatiba,,Skippad,24,47,686281073-1,555146918-2,Durable boots designed for outdoor hiking and activities.,Meezzy,2025-10-25,25.71,124103896
Portable Massage Gun,Health,Nowa Góra,Realpoint,Gigabox,34,58,,198149178-3,Personal massager for muscle recovery.,Kazu,2025-06-15,92.27,022300160
Noise-Canceling Headphones,Audio,Tallahassee,Photobug,Fadeo,48,97,800692568-2,,High-quality headphones that block out external noise for immersive listening.,Mudo,2025-04-24,82.83,067010583
Stainless Steel Cutlery Set,Kitchen,Bogdaniec,Flipopia,Kanoodle,100,70,901261518-6,,High-quality cutlery set for daily use or special occasions.,Dabtype,2025-12-13,,121000248
Puzzle,Toys,Dubai,Jayo,Tazzy,25,66,260160141-8,910014658-7,Challenging 1000-piece jigsaw puzzle for all ages.,Devcast,2026-02-01,74.05,084000945
Asian Noodle Salad Kit,Food - Salads,Niigata-shi,Innotype,Quatz,22,92,953295678-6,993879291-X,A pre-packaged salad kit with noodles and Asian-style dressing.,Skibox,2026-01-08,64.2,102005916
Smart Thermos,Fitness,Kota Kinabalu,Photospace,Wikibox,84,18,420686016-5,475901344-X,Thermos that tracks your water intake and temperature.,Skipstorm,2026-01-01,39.88,091308805
