Name,Manufacturer,Serial Number,Category,Purchase Cost,Purchase Date,Location,Company,Order Number,Quantity,Min Qty,Model Number,Notes,Supplier
Herbed Goat Cheese,Janyx,246225025-5,Food - Cheese,60.81,2025-10-24,Zoumaling,Skipfire,5002357143456771,910,463,694187862-2,"Tangy goat cheese infused with herbs, perfect for snacking.",Youspan
Trainers with Mesh Inserts,Jetpulse,149030536-X,Clothing - Footwear,32.8,2025-02-16,Vřesina,Youopia,6761898258629057,51,,707983645-X,Comfortable trainers with mesh inserts for breathability.,Twitternation
Personal Blender with Travel Lid,Zooxo,465663985-0,Kitchen,83.52,2025-03-31,Kukawa,Quimm,3554358386687962,371,18,359833529-6,Blender designed for smoothies and shakes on the go.,Skaboo
Avocado Oil,Jaxnation,408362579-1,Food - Oils,73.37,2025-11-03,Esperanza,Photobug,4905578194472448,385,346,336620468-0,"A healthy oil extracted from avocados, ideal for frying and salads.",
Travel Pillow with Memory Foam,Photospace,058703248-0,Travel,,2026-01-28,Varge Mondar,Skippad,3588760100436685,794,812,,Ergonomically designed neck pillow for comfortable travel.,Vimbo
Digital Drawing Tablet,Meeveo,901352052-9,Art Supplies,63.33,2025-06-23,‘Eilabun,Tavu,,442,26,728094137-0,Tablet for digital drawing and illustration work.,Brainverse
Bodyweight Resistance Bands,Eamia,573824015-4,Fitness,,2025-12-29,Mozhong,Wordify,3587268277449722,621,370,807279359-4,Set of resistance bands for strength training at home.,Divanoodle
Zucchini Noodles,Tagchat,410008313-0,Food - Vegetables,78.03,2025-12-20,Onguday,Minyx,5108756871327026,458,528,648345870-3,"Spiralized zucchini, a healthy alternative to pasta.",Photolist
Sesame Ginger Dressing,Shufflester,522764101-3,Food - Condiments,17.35,2025-03-05,,Oyonder,4913762123714522,342,359,364388709-4,"Tangy dressing perfect for salads and marinades, with sesame and ginger flavors.",Skinte
Basil Tomato Soup,Podcat,481984372-9,Food - Canned Soups,56.01,2025-03-04,Jishu,Bubbletube,30275182926164,245,869,386014498-7,"Rich tomato soup flavored with fresh basil, ready to heat up.",Voomm
Travel Organizer,Realcube,131531863-6,Travel,34.26,2025-05-22,,DabZ,3537861469022645,466,976,668243939-3,Compact travel organizer for accessories and toiletries.,Gigashots
Bamboo Utensil Set,Quire,222275420-8,Kitchen,31.89,2025-09-23,Bender,Geba,348751285916523,687,991,506335405-X,Sustainable bamboo utensils for cooking and serving.,Plajo
Adjustable Laptop Stand,Quire,,Office,86.07,2025-01-18,Hamonggolele,Skinder,3538263045630406,801,972,711258318-7,Ergonomic stand for laptops to improve posture while working.,Blogtags
Wine Glasses,Wikivu,492072689-9,Home,90.86,2025-04-18,Leiyang,Tanoodle,5641826846046716811,238,485,822395492-3,,Agivu
Infrared Thermometer Gun,Fanoodle,477635498-5,Health,55.4,2025-07-14,Ondangwa,Bubblebox,6767930572908044929,574,,642056084-5,Non-contact thermometer for quick and easy temperature readings.,Linklinks
Frozen Pizza,Edgepulse,547314594-9,Food - Frozen Foods,10.56,2025-01-23,Zográfos,Livetube,3531912842224089,342,91,,Delicious frozen pizza with a variety of toppings.,Bubblemix
Smartphone Hand Grip,,516610990-2,Accessories,16.83,2025-09-29,Handa,Pixope,36961224464033,654,150,,Sturdy grip to hold your phone securely while taking selfies.,Nlounge
Personalized Keychain,Babbleset,726696772-4,Accessories,70.85,2025-10-10,,Twimbo,4917295407804,988,593,900736867-2,Custom keychain with engraved text.,Innojam
Nail Polish Set,Tagchat,057593233-3,Beauty,63.39,2025-12-21,Mokil,Realfire,3545233822618339,612,313,999939002-1,Assorted nail polish set for vibrant nails.,
Vegetable Fried Rice Mix,Linkbridge,029305024-4,Food - Frozen Food,53.54,2025-11-28,Sredniy,Avamm,6373577262503736,854,164,678549900-3,A quick and easy fried rice mix with colorful veggies and savory seasoning.,Yodel
Organic Baby Carrots,Oyoloo,539745142-8,Food - Fresh Produce,75.94,2025-08-08,Futtsu,Skilith,4041378747042,580,,144875942-0,Fresh and crunchy baby carrots ready for snacking.,Flipbug
High-Quality Yoga Block,,060639937-2,Fitness,99.34,2025-01-25,Vale,Fatz,3570180672806076,847,923,040495180-5,Foam yoga block for enhancing poses and stability.,Skyndu
Leek and Potato Soup,Kaymbo,897286905-8,Food - Soups,36.03,2025-12-10,Nafada,Jayo,5610029465945999772,21,,457327870-2,Savory soup made with leeks and potatoes.,Meeveo
Maple Cinnamon Granola,Realbuzz,038871082-9,Food - Cereals,21.41,2025-01-19,Gnieżdżewo,Realbuzz,374283171239395,897,902,411758686-6,"Crunchy granola mixed with maple syrup and cinnamon, perfect for breakfast or snacks.",
Pet Water Fountain,Yambee,,Pets,4.38,2025-07-24,Rubiataba,Rhycero,30469006855887,29,972,,Automatic water fountain for pets with filtration.,Kwilith
Sesame Seeds,Oyoyo,,Food - Baking,9.95,2025-03-12,,Zoonoodle,5602230455178115,882,65,876053297-1,,Gigabox
Kettle Chip Variety Pack,Kare,,Food - Snacks,56.05,2025-06-07,Côn Sơn,Edgeclub,5602255654607788,966,644,840460320-0,A crunchy collection of flavored kettle chips in a convenient pack.,Flipbug
Peach Preserves,,250147267-5,Food - Condiments,72.86,2025-12-22,Kano,Agivu,6334177788634898609,486,,561026530-4,"Sweet and fruity peach preserves, perfect for spreading on toast.",Skippad
Whole Grain Hamburger Buns,Fatz,547894248-0,Food - Bakery,23.91,2025-03-27,Beishan,Tambee,3576122188226138,407,634,777127184-7,Soft hamburger buns made with whole grains.,
Pet Bed with Removable Cover,,408113081-7,Pets,29.11,2025-05-12,Abakaliki,,3530074012299432,15,360,842956572-8,Comfy pet bed with washable cover for easy cleaning.,Gigazoom
Plant-Based Cookbook,Browsezoom,,Books,1.86,2025-12-15,Shymkent,Fanoodle,6759620080142375234,289,919,227962233-5,Delicious recipes focusing on plant-based ingredients.,Yakidoo
Dark Chocolate Raisins,Eimbee,569577137-4,Food - Snacks,47.71,2025-05-30,Sanquan,Realcube,3571437649724405,152,886,262632206-7,Juicy raisins coated in rich dark chocolate.,Lajo
Interactive Plush Toy,Oyoba,199593271-X,Toys,90.32,2025-11-07,,Blogtags,4634883738413,892,990,411128392-6,"Soft, cuddly toy that interacts with children.",Zoomzone
Kids' Learning Tablet,Livefish,,Electronics,39.43,2025-05-01,Minas de Matahambre,Dynabox,374283443951538,249,342,384792358-7,,Mydeo
Portable Leaf Blower,Trudeo,887308621-7,Outdoor,61.37,2025-12-14,,Mybuzz,201997472421415,534,650,037405578-5,Lightweight leaf blower for maintaining outdoor spaces.,Zoombeat
Kids' Dinosaur-Themed Lunchbox,Oyoyo,,Accessories,29.17,2025-04-08,,Yambee,3559471491465003,427,841,178911445-4,Fun lunchbox for kids with a sturdy design.,Voonyx
Chocolate Raspberry Tart,Blogtags,935620856-5,Food - Bakery,67.24,2025-01-27,Esplanada,Meejo,,715,743,974118569-3,"Rich tart filled with chocolate and raspberry, a gourmet dessert.",Yabox
Smartphone Camera Lens Kit,Meemm,450563995-9,Photography,73.96,2025-05-10,,Meembee,5220276563585594,333,512,265185029-2,Upgrade your phone photography with this lens kit that includes wide-angle and macro lenses.,Chatterpoint
Digital Wireless Camera,Yombu,161761008-9,Home Security,61.18,2025-12-28,Mlonggo,Zoomlounge,3565607107071378,962,279,,Secure digital wireless security camera system.,Npath
Recipe Book Stand,Riffpath,138935256-0,Kitchen,17.53,2025-09-05,Ya’ngan,Divape,3555228302348305,251,118,564340227-0,Stylish stand to hold your recipes while cooking.,Avamba
Dog Car Seat Cover,Podcat,016795402-4,Pets,2.92,2025-10-07,Casa Quemada,Skalith,,109,635,300547526-3,Waterproof cover to protect car seats from pet hair and dirt.,
Cocktail Shaker Set,Jabbercube,,Kitchen,,2025-04-14,Efeng,Livefish,201613877083896,698,263,840197280-9,"Bartender kit with shaker, jigger, and strainer.",
USB Desk Fan,Zooxo,127185384-1,Home,34.3,2025-12-18,,Photobug,3557689982965171,477,965,214961597-5,Compact USB fan for personal cooling.,Riffwire
Teriyaki Chicken Skewers,Centizu,811398024-5,Food - Meat,63.54,2026-02-14,La Libertad,Yata,201631567246888,157,496,880644194-9,Grilled chicken skewers glazed with teriyaki sauce.,Wikizz
Electric Rice Cooker with Steamer,Agivu,095403225-X,Kitchen,39.07,2025-01-08,Amparafaravola,Demivee,,83,844,620887352-5,Cook rice and steam vegetables simultaneously for healthy meals.,Pixonyx
Handcrafted Wooden Jewelry Box,Ainyx,100782341-0,Accessories,41.32,2025-08-21,Esperança,Feedfish,4026852357392832,141,,839483568-6,Beautifully crafted jewelry box with compartments for storage.,Wikizz
Kale Chips,Zoombox,026298939-5,Food - Snacks,63.83,,Ochakovo-Matveyevskoye,Eire,3531420374880567,149,57,471968619-2,,
Pineapple Teriyaki Chicken Mix,Lazz,836037757-X,Food - Meat,73.65,2025-06-20,,Tazzy,3589625163738195,631,333,211003474-2,A perfect blend of pineapple and teriyaki for stir-fry.,Voomm
Tandoori Chicken Skewers,Twinte,,Food - Meat,32.76,2025-02-10,Serednye,Zoombox,3558740642432612,925,,102853365-9,Marinated chicken skewers infused with traditional tandoori spices.,
Kale & Quinoa Salad Mix,Yombu,,Food - Salads,,2025-11-24,,BlogXS,560223240750061810,494,524,594842714-5,"A nutrient-packed salad mix with kale, quinoa, and a lemon vinaigrette, ready to eat.",Oloo
Luxury Memory Foam Mattress Topper,Feedbug,414526915-2,Home,35.05,2025-03-23,Dunaivtsi,Zoombeat,56022368137381817,826,868,,Adds extra comfort to your mattress for a better night's sleep.,Dynabox
Silicone Baking Mat,Bubblemix,031312389-6,Kitchen,71.09,2025-03-24,Ban Talat Nua,,4041596753463355,820,358,620371994-3,Non-stick baking mat for easy cooking and cleanup.,Photojam
Caramelized Onion Dip Mix,Eadel,460791909-8,Food - Snacks,52.99,2026-01-27,Huai Mek,Mymm,3571492809024765,152,,637503637-2,A mix to create a delicious onion dip for parties or snacking.,Realcube
Wire Shelving Unit,,013782575-7,Home,,2025-07-15,,,3555620824195851,142,817,938400747-1,Adjustable shelving unit for home or garage storage.,Vipe
Organic Granola,Avamm,518213207-7,Food - Breakfast,67.48,2025-10-08,Kawengan,Izio,,957,177,,Healthy granola made with oats and honey.,Tagfeed
Sweet Chili Dipping Sauce,Ntag,714988844-5,Food - Condiments,8.04,2025-10-03,Cabitan,Izio,4041371054337405,321,63,503990154-2,A sweet and spicy sauce ideal for spring rolls or chicken nuggets.,Chatterpoint
Dried Mango Slices,Skinix,831820844-7,Food - Snacks,48.1,2025-06-22,Przemków,Youfeed,6334144220378650368,892,34,280616294-7,"Sweet and chewy dried mango slices, perfect for snacking.",Quinu
Chickpea Pancakes,,679712757-2,Food - Frozen,55.54,2025-12-22,Montbéliard,Meemm,374283440298883,141,336,096891937-5,"Savory pancakes made with chickpea flour, high in protein.",Twiyo
Lasagna Noodles,Oodoo,559580010-0,Food - Pasta,54.6,,Tandel,Npath,4041376286639,498,,819482929-1,Wide pasta sheets for making lasagna.,Avamm
Essential Oils Diffuser Necklace,Skajo,,Health,37.32,2025-02-20,,Voonyx,,929,81,471359107-6,Wearable diffuser for scenting your space and body.,Yakitri
Window Bird Feeder with Suction Cups,Muxo,581185337-8,Outdoor,66.53,2025-09-14,,Wordtune,3585721910966934,564,410,100444742-6,Clear feeder that attaches to windows for bird watching.,Layo
Multi-Purpose Marine Rope,Skivee,313241262-7,Outdoor,5.4,2025-06-06,Hwado,Tagopia,,944,467,983141417-9,"Heavy-duty rope suitable for boating, camping, and general use.",BlogXS
Action Camera,Zoonoodle,961439428-5,Electronics,,2025-04-18,Jistebnice,Twitterlist,,619,299,813501103-2,Compact action camera for capturing adventures.,Tagfeed
Mechanical Pencil Set,Jabbercube,030613230-3,Office,13.7,2025-08-09,Ibarra,Topiclounge,3534877924666985,247,381,266231424-9,"Precision pencils for drawing, sketching, and writing.",Yodo
Coconut Curry Lentils,Topiclounge,294005037-6,Food - Canned Goods,81.25,,Santiago,Linkbuzz,060455069972926348,622,166,,Lentils cooked in a coconut curry for a hearty meal.,Shuffledrive
Yoga Mat,,211985140-9,Fitness,31.11,2025-01-18,Saint Louis,Dazzlesphere,67595905956471973,769,517,,,Livefish
Garlic Parmesan Wings,Teklist,841607931-5,Food - Frozen Foods,31.02,2026-01-07,Huyuan,Jetwire,5602252770139317,161,159,239763642-5,Frozen chicken wings with garlic parmesan sauce.,Kazio
Cauliflower Pizza Crust,Oozz,472022926-3,Food - Frozen Foods,,2025-11-23,Erjia,Skinix,5602228636935460,868,91,831972817-7,Healthy pizza crust made from cauliflower,Skilith
Greek Yogurt Parfait,Riffpath,450537333-9,Food - Dairy,44.8,2025-06-29,Ferraz de Vasconcelos,Topicblab,3539677046489919,255,712,581603550-9,"Layered Greek yogurt with granola and mixed berries, ready to enjoy.",Yakidoo
Mini Indoor Hydroponic Garden,,636165851-1,Garden,44.96,2025-02-10,Chancay,Bluezoom,3581594472039026,549,930,943442290-6,Grow herbs indoors with this easy-to-use hydroponic garden system.,
Peanut Butter Chocolate Clusters,Tazz,003398016-0,Food - Desserts,30.87,2025-01-18,,Oba,4405816578942908,405,239,841317105-9,Delicious clusters of peanuts and chocolate for a sweet treat.,Dabfeed
Stainless Steel Water Pitcher,Twimm,463543906-2,Kitchen,70.17,2025-04-06,Xinzha,Vinte,5100144856065002,502,936,,Insulated pitcher to keep beverages cold or hot.,Devify
Frozen Broccoli,,676921720-1,Food - Frozen,96.26,2025-05-29,Huitong,Jetpulse,5602212427229713,234,117,420013722-4,"Nutrient-rich broccoli, easy to add to any meal.",Zazio
Electronic Drum Kit,Skinte,,Music,65.39,2025-11-19,Longzhong,,3577434261267023,985,708,523757663-X,Compact electronic drum kit for musicians of all levels.,Voolia
Camera Lens Cleaning Kit,Plambee,039015763-5,Photography,35.67,2025-09-13,Brumadinho,Voonte,,649,905,708624963-7,,Edgeblab
Reusable Silicone Food Storage Bags,Ntags,412443341-7,Kitchen,29.23,2025-04-29,Isyangulovo,Yakitri,,308,473,408356930-1,Eco-friendly bags for storing food without plastic waste.,Dynava
LED Christmas Tree Lights,Youbridge,,Home,70.33,2025-05-08,Las Garcitas,,3546507949900384,93,772,433061753-6,String lights for decorating holiday trees.,Abata
Interactive Plush Toy,Oodoo,212193152-X,Toys,21.53,2025-01-04,Petaling Jaya,Fivespan,,45,998,894205509-5,"Soft, cuddly toy that interacts with children.",
Floral Summer Dress,Rhybox,535937779-8,Clothing - Dresses,38.61,2025-07-07,Ростуша,Avavee,5048379821385698,641,36,,Light and breezy dress perfect for summer outings with a vibrant floral pattern.,Flashset
Ski Goggles,Brightdog,050126923-1,Sports,5.98,2025-04-10,Hong’an,Wordtune,5100139371165618,159,203,006673734-6,Anti-fog ski goggles for winter sports.,
Slim Wallet,Rhyzio,594898097-9,Accessories,49.95,2026-01-23,Novo-Peredelkino,Mymm,06046134690430772,535,531,702021395-2,RFID-blocking slim wallet for cards and cash.,Lazz
Self-Watering Planter,Oloo,502386595-9,Garden,3.57,2025-07-01,Oof,Riffpath,6378264931108180,898,477,412891170-4,,Nlounge
Gardening Tool Belt,Yadel,599227933-4,Garden,74.85,2025-09-21,Catia La Mar,,3569334122294887,288,900,674353985-6,Convenient belt with pockets for easy access to tools while gardening.,Divape
Diced Tomatoes (canned),Tavu,195482919-1,Food - Canned Goods,,2025-12-29,Daloa,Mudo,4905127177560801,854,77,800689712-3,"Canned diced tomatoes, great base for sauces and soups.",Dablist
Cranberry Orange Oatmeal,Dabvine,178897853-6,Food - Breakfast,16.29,2025-08-14,,Brainlounge,3586679281763653,742,116,891236020-5,Instant oatmeal flavored with cranberries and orange zest for breakfast.,Voolith
Repair Tool Set for Home Improvement,Edgewire,568502718-4,Tools,45.94,,Dimataling,Wordpedia,5007661859310808,673,139,779399387-X,,Fivechat
Barbecue Chicken Pizza,Tavu,619387339-2,Food - Frozen Foods,46.93,2025-05-03,Masis,Tavu,3569595862530009,959,587,897275905-8,"Pizza topped with barbecue chicken, cheese, and red onions.",Rhynoodle
Cinnamon Roll Dough,Gabvine,322800951-3,Food - Bakery,66.28,2025-12-20,Aghsu,Jaloo,3531832749592976,942,721,,Ready-to-bake cinnamon roll dough for easy breakfasts.,Skiba
Cotton Basic Tank,Feedfire,249988352-9,Clothing - Tops,,2025-05-19,,Twiyo,3528681003272923,643,807,,"Essential cotton tank top, perfect for layering.",Photobug
Almond Milk,,837597064-6,Food - Dairy,27.98,2025-05-30,Namioka,Einti,374288122401556,58,810,109498352-7,"Deliciously creamy almond milk, perfect for smoothies.",Livetube
